FIPCO,TotPop
"5-DIGIT COUNTY FIPS CD" ,"Total Persons"
27029,8309
27031,3868
27033,12694
27035,44249
27037,275227
27039,15731
27041,28674
27043,16937
27045,20777
27047,33060
27049,40690
27051,6246
27053,1032431
27055,18497
27057,14939
27059,25921
27061,40863
27063,11677
27065,12802
27067,38761
27069,5767
27071,16299
27073,8924
27075,10415
27077,4076
27079,23239
27081,6890
27083,24789
27085,32030
27087,5044
27089,10993
27091,22914
27093,20846
27095,18670
27097,29604
27099,37385
27101,9660
27103,28076
27105,20098
27107,7975
27109,106470
27111,50714
27113,13306
27115,21264
27117,10491
27119,32498
27121,10745
27123,485765
27125,4525
27127,17254
27129,17673
27131,49183
27133,9806
27135,15026
27137,198213
27139,57846
27141,41945
27143,14366
27145,118791
27147,30729
27149,10634
27151,10724
27153,23363
27155,4463
27157,19744
27159,13154
27161,18079
27163,145896
27165,11682
27167,7516
27169,47828
27171,68710
27173,11684
28001,35356
28003,31722
28005,13328
28007,18481
28009,8046
28011,41875
28013,14908
28015,9237
28017,18085
28019,9071
28021,11370
28023,17313
28025,21120
28027,31665
28029,27592
28031,16527
28033,67910
28035,68314
28037,8377
28039,16673
28041,10220
28043,21555
28045,31760
28047,165365
28049,254441
28051,21604
28053,12134
28055,1909
28057,20017
28059,115243
28061,17114
28063,8653
28065,14051
28067,62031
28069,10356
28071,31826
28073,30424
28075,75555
28077,12458
28079,18436
28081,65581
28083,37341
28085,30278
28087,59308
28089,53794
28091,25544
28093,30361
28095,36582
28097,12388
28099,24800
28101,20291
28103,12604
28105,38375
28107,29996
28109,38714
28111,10865
28113,36882
28115,22237
28117,23278
28119,10490
28121,87161
28123,24137
28125,7066
28127,23953
28129,14798
28131,10750
28133,32867
28135,15210
28137,21432
28139,19523
28141,17683
28143,8164
28145,22085
28147,14352
28149,47880
28151,67935
28153,19517
28155,10222
28157,9678
28159,19433
28161,12033
28163,25506
29001,24577
29003,14632
29005,7457
29007,23599
29009,27547
29011,11312
29013,15025
29015,13859
29017,10619
29019,112379
29021,83083
29023,38765
29025,8380
29027,32809
29029,27495
29031,61633
29033,10748
29035,5515
29037,63808
29039,12093
29041,9202
29043,32644
29045,7547
29047,153411
29049,16595
29051,63579
29053,14835
29055,19173
29057,7449
29059,12646
29061,7865
29063,9967
29065,13702
29067,11876
29069,33112
29071,80603
29073,14006
29075,6848
29077,207949
29079,10536
29081,8469
29083,20044
29085,7335
29087,6034
29089,9631
29091,31447
29093,10726
29095,633232
29097,90465
29099,171380
29101,42514
29103,4482
29105,27158
29107,31107
29109,30236
29111,10233
29113,28892
29115,13885
29117,14592
29119,16938
29121,15345
29123,11127
29125,7976
29127,27682
29129,3723
29131,20700
29133,14442
29135,12298
29137,9104
29139,11355
